X,Y,Name,Status,Type,Ward
-79.34287,43.769518,"Parkway Forest Drive, near 25 Parkway Forest Dr. (Don Valley North)",Active,Planned Speed Camera,17 - Don Valley North
-79.427723,43.784838,"Drewry Avenue, east of Norwin Street (Willowdale)",Active,Planned Speed Camera,18 - Willowdale
-79.425205,43.768982,"Ellerslie Avenue, west of Diagonal Road (Willowdale)",Active,Planned Speed Camera,18 - Willowdale
-79.297675,43.712846,"Victoria Park Avenue, near Tiago Avenue (Beaches-East York)",Active,Planned Speed Camera,19 - Beaches-East York
-79.300846,43.692917,"Secord Avenue, near Palmer Avenue (Beaches-East York)",Active,Planned Speed Camera,19 - Beaches-East York
-79.268871,43.708831,"Birchmount Road, south of Sadler Drive (Scarborough Southwest)",Active,Planned Speed Camera,20 - Scarborough Southwest
-79.225107,43.733289,"Bellamy Road, south-north of Kingston Road (Scarborough Southwest)",Active,Planned Speed Camera,20 - Scarborough Southwest
-79.256899,43.736499,"Gilder Drive, east of Midland Avenue (Scarborough Centre)",Active,Planned Speed Camera,21 - Scarborough Centre
-79.239288,43.756885,"Lawrence Avenue East, west of Ben Stanton Boulevard (Scarborough Centre)",Active,Planned Speed Camera,21 - Scarborough Centre
-79.326893,43.813466,"Bamburgh Circle, near 125 Bamburgh Cir. (Scarborough-Agincourt)",Active,Planned Speed Camera,22 - Scarborough-Agincourt
-79.330985,43.797534,"Chester Le Boulevard, near Pettibone Square (Scarborough-Agincourt)",Active,Planned Speed Camera,22 - Scarborough-Agincourt
-79.275719,43.798275,"Huntingwood Drive, near Mollard Road (Scarborough North)",Active,Planned Speed Camera,23 - Scarborough North
-79.276646,43.789106,"Heather Road, east of Glen Watford Drive (Scarborough North)",Active,Planned Speed Camera,23 - Scarborough North
-79.212245,43.786406,"Military Trail, near 341 Military Tr. (Scarborough-Guildwood)",Active,Planned Speed Camera,24 - Scarborough-Guildwood
-79.215816,43.747012,"Gatesview Avenue, east of Cedar Drive (Scarborough-Guildwood)",Active,Planned Speed Camera,24 - Scarborough-Guildwood
-79.207076,43.818182,"Sewells Road, west of Glenheather Terrace (Scarborough-Rouge Park)",Active,Planned Speed Camera,25 - Scarborough-Rouge Park
-79.149648,43.785089,"Centennial Road, south of Cherrydale Court (Scarborough-Rouge Park) ",Active,Planned Speed Camera,25 - Scarborough-Rouge Park
