OBJECTID,MUN,CAMERA_NUM,NAME,Street,StrInt1,StrInt2,Latitude,Longitude,x,y
19,Mississauga,17,Derry Road West @ Shelter Bay Road/Copenhagen,Derry Road West,Shelter Bay Road,Copenhagen,43.5908592796379,-79.7681568082149,-8879750.98714358,5402344.80438984
20,Brampton,3,Airport Road @ Steeles Avenue East,Airport Road,Steeles Avenue East,,43.7237275051739,-79.669133646573,-8868727.77701961,5422788.76795008
21,Brampton,20,Dixie Road @ Queen Street East,Dixie Road,Queen Street East,,43.7148398841407,-79.7280674823077,-8875288.2636056,5421419.84759923
22,Brampton,26,Queen Street East @ Torbram Road,Queen Street East,Torbram Road,,43.734088091349,-79.7067156262598,-8872911.38529713,5424384.81812934
23,Brampton,1,Airport Road @ Bovaird Drive/Castlemore Road,Airport Road,Bovaird Drive,Castlemore Road,43.7633422978916,-79.7224071485471,-8874658.15841565,5428892.92581035
24,Brampton,5,Bovaird Drive West @ Brisdale Drive/Pertosa Drive,Bovaird Drive West,Brisdale Drive,Pertosa Drive,43.6831524440572,-79.8118817552722,-8884618.42844823,5416540.82599415
25,Brampton,32,Steeles Avenue West @ Tait Boulevard/Windmill,Steeles Avenue West,Tait Boulevard,Windmill,43.653613649142,-79.7468881313116,-8877383.3687285,5411994.95989593
26,Brampton,29,Steeles Avenue @ Rutherford Road/First Gulf Blvd.,Steeles Avenue,Rutherford Road,First Gulf Blvd.,43.6805797089741,-79.7172456560902,-8874083.58269791,5416144.80720243
27,Mississauga,18,Derry Road West @ Syntex Drive/Syntex Court,Derry Road West,Syntex Drive,Syntex Court,43.605043783033,-79.7546187568568,-8878243.93782089,5404525.16875565
28,Mississauga,27,Queensway East @ Camilla Road,Queensway East,Camilla Road,,43.5776698661238,-79.6035457386633,-8861426.56074214,5400317.86208664
29,Mississauga,9,Britannia Road West @ Tillsdown Dr/River Grove Ave,Britannia Road West,Tillsdown Dr,River Grove Ave,43.5950235848095,-79.7148327458929,-8873814.97783188,5402984.8656885
30,Mississauga,10,Cawthra Road @ Atwater Ave,Cawthra Road,Atwater Ave,,43.5746601826628,-79.5731490010924,-8858042.81028727,5399855.39764423
31,Mississauga,6,Britannia Road West @ Grossbeak Dr/Delle Donne Dr,Britannia Road West,Grossbeak Dr,Delle Donne Dr,43.5614725675469,-79.7524899311751,-8878006.95752467,5397829.27434689
32,Brampton,23,Mayfield Road @ Kennedy Road,Mayfield Road,Kennedy Road,,43.7436625245659,-79.814482578343,-8884907.95144335,5425860.00628509
33,Mississauga,8,Britannia Road West @ Rodeo Drive/Belgrave Road,Britannia Road West,Rodeo Drive,Belgrave Road,43.614769622938,-79.692582327457,-8871338.07198834,5406020.46923327
34,Mississauga,35,Dixie Road @ Bloor Street,Dixie Road,Bloor Street,,43.6167801451576,-79.5945895342201,-8860429.56069096,5406329.60799802
35,Unknown,36,Finch Avenue @ Darcel Avenue/Longo Circle,Finch Avenue,Darcel Avenue,Longo Circle,43.7333751997386,-79.6338028648158,-8864794.77122748,5424274.98871032
